[2015-12-03T14:57:58Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:57:58Z]	arcontrol_cli M1402	[TEMP 1:142.3 - TEMP 2:27.3]
[2015-12-03T14:58:03Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:03Z]	arcontrol_cli M1402	[TEMP 1:145.5 - TEMP 2:27.5]
[2015-12-03T14:58:08Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:08Z]	arcontrol_cli M1402	[TEMP 1:148.8 - TEMP 2:28.0]
[2015-12-03T14:58:13Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:13Z]	arcontrol_cli M1402	[TEMP 1:151.9 - TEMP 2:28.1]
[2015-12-03T14:58:18Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:18Z]	arcontrol_cli M1402	[TEMP 1:155.1 - TEMP 2:28.6]
[2015-12-03T14:58:23Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:23Z]	arcontrol_cli M1402	[TEMP 1:158.2 - TEMP 2:28.6]
[2015-12-03T14:58:28Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:28Z]	arcontrol_cli M1402	[TEMP 1:161.2 - TEMP 2:29.0]
[2015-12-03T14:58:33Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:33Z]	arcontrol_cli M1402	[TEMP 1:163.8 - TEMP 2:29.3]
[2015-12-03T14:58:38Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:38Z]	arcontrol_cli M1402	[TEMP 1:166.8 - TEMP 2:29.5]
[2015-12-03T14:58:43Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:43Z]	arcontrol_cli M1402	[TEMP 1:169.2 - TEMP 2:29.9]
[2015-12-03T14:58:48Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:48Z]	arcontrol_cli M1402	[TEMP 1:172.1 - TEMP 2:30.2]
[2015-12-03T14:58:53Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:53Z]	arcontrol_cli M1402	[TEMP 1:174.6 - TEMP 2:30.4]
[2015-12-03T14:58:58Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:58:58Z]	arcontrol_cli M1402	[TEMP 1:177.2 - TEMP 2:30.7]
[2015-12-03T14:59:03Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:03Z]	arcontrol_cli M1402	[TEMP 1:179.5 - TEMP 2:30.9]
[2015-12-03T14:59:08Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:08Z]	arcontrol_cli M1402	[TEMP 1:181.9 - TEMP 2:31.2]
[2015-12-03T14:59:13Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:13Z]	arcontrol_cli M1402	[TEMP 1:184.1 - TEMP 2:31.4]
[2015-12-03T14:59:18Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:18Z]	arcontrol_cli M1402	[TEMP 1:186.4 - TEMP 2:31.6]
[2015-12-03T14:59:23Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:23Z]	arcontrol_cli M1402	[TEMP 1:188.6 - TEMP 2:31.8]
[2015-12-03T14:59:28Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:28Z]	arcontrol_cli M1402	[TEMP 1:190.8 - TEMP 2:32.3]
[2015-12-03T14:59:33Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:33Z]	arcontrol_cli M1402	[TEMP 1:193.1 - TEMP 2:32.4]
[2015-12-03T14:59:38Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:38Z]	arcontrol_cli M1402	[TEMP 1:195.0 - TEMP 2:32.7]
[2015-12-03T14:59:43Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:43Z]	arcontrol_cli M1402	[TEMP 1:196.9 - TEMP 2:33.0]
[2015-12-03T14:59:48Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:48Z]	arcontrol_cli M1402	[TEMP 1:197.7 - TEMP 2:33.4]
[2015-12-03T14:59:53Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:53Z]	arcontrol_cli M1402	[TEMP 1:197.9 - TEMP 2:33.6]
[2015-12-03T14:59:58Z]	arcontrol_cli M1600	[1]
[2015-12-03T14:59:58Z]	arcontrol_cli M1402	[TEMP 1:198.3 - TEMP 2:33.9]
[2015-12-03T15:00:03Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:03Z]	arcontrol_cli M1402	[TEMP 1:199.1 - TEMP 2:34.2]
[2015-12-03T15:00:08Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:08Z]	arcontrol_cli M1402	[TEMP 1:200.3 - TEMP 2:34.5]
[2015-12-03T15:00:13Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:13Z]	arcontrol_cli M1402	[TEMP 1:201.7 - TEMP 2:34.9]
[2015-12-03T15:00:18Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:18Z]	arcontrol_cli M1402	[TEMP 1:203.4 - TEMP 2:35.2]
[2015-12-03T15:00:23Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:23Z]	arcontrol_cli M1402	[TEMP 1:204.8 - TEMP 2:35.4]
[2015-12-03T15:00:28Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:28Z]	arcontrol_cli M1402	[TEMP 1:206.7 - TEMP 2:36.0]
[2015-12-03T15:00:33Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:33Z]	arcontrol_cli M1402	[TEMP 1:207.8 - TEMP 2:36.4]
[2015-12-03T15:00:38Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:38Z]	arcontrol_cli M1402	[TEMP 1:208.4 - TEMP 2:36.7]
[2015-12-03T15:00:43Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:45Z]	arcontrol_cli M1402	[TEMP 1:208.0 - TEMP 2:37.1]
[2015-12-03T15:00:48Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:48Z]	arcontrol_cli M1402	[TEMP 1:207.3 - TEMP 2:37.4]
[2015-12-03T15:00:53Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:53Z]	arcontrol_cli M1402	[TEMP 1:205.8 - TEMP 2:37.8]
[2015-12-03T15:00:58Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:00:58Z]	arcontrol_cli M1402	[TEMP 1:204.1 - TEMP 2:38.1]
[2015-12-03T15:01:03Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:03Z]	arcontrol_cli M1402	[TEMP 1:202.4 - TEMP 2:38.4]
[2015-12-03T15:01:08Z]	arcontrol_cli M1600	[1]
[2015-12-03T15:01:08Z]	arcontrol_cli M1402	[TEMP 1:201.4 - TEMP 2:38.7]
